Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
04.09.2014,"60800,02","61836,36","61836,36","60739,25","4,01M","-1,68%"
03.09.2014,"61837,04","61899,83","62304,88","61198,91","4,16M","-0,10%"
02.09.2014,"61895,98","61141,5","62231,23","60930,48","4,00M","1,23%"
01.09.2014,"61141,27","61294,48","62279,27","61141,27","2,77M","-0,24%"
31.08.2014,"61288,15","61288,15","61288,15","61288,15",-,"0,00%"
29.08.2014,"61288,15","60291,37","61442,93","60272,51","4,94M","1,65%"
28.08.2014,"60290,87","60945,24","60980,1","60188,78","4,46M","-1,08%"
27.08.2014,"60950,57","59821,81","61246,67","59821,81","5,39M","1,89%"
26.08.2014,"59821,45","59735,17","60092,95","59522,4","4,01M","0,14%"
25.08.2014,"59735,17","58407,85","59742,65","58407,85","2,88M","2,27%"
22.08.2014,"58407,32","58991,72","58991,72","58164,22","2,33M","-0,99%"
21.08.2014,"58992,11","58878,24","59207,06","58558,19","3,32M","0,19%"
20.08.2014,"58878,24","58449,92","59010,08","58320,02","3,30M","0,73%"
19.08.2014,"58449,29","57561,23","58474,93","57370,97","3,48M","1,54%"
18.08.2014,"57560,72","56968,35","57664,9","56968,35","3,27M","1,05%"
15.08.2014,"56963,65","55783,18","56965,35","55783,18","3,44M","2,12%"
14.08.2014,"55780,41","55557,5","55946,54","55436,88","3,05M","0,36%"
13.08.2014,"55581,19","56454,17","56736,04","55238,61","4,81M","-1,53%"
12.08.2014,"56442,34","56613,17","56811,11","56312,08","2,15M","-0,30%"
11.08.2014,"56613,32","55578,04","56657,15","55578,04","2,67M","1,87%"
10.08.2014,"55572,93","55572,93","55572,93","55572,93",-,"0,00%"
08.08.2014,"55572,93","56186,89","56186,89","55319,36","3,02M","-1,09%"
07.08.2014,"56188,05","56487,18","56922,92","55985,49","3,05M","-0,53%"
06.08.2014,"56487,18","56201,64","56797,17","55695,59","4,01M","0,51%"
05.08.2014,"56202,1","56621,07","56937,41","56063,55","3,75M","-0,73%"
04.08.2014,"56616,33","55906,45","56620,27","55585,52","2,20M","1,28%"
02.08.2014,"55902,87","55902,87","55902,87","55902,87",-,"0,00%"
01.08.2014,"55902,87","55827,37","56058,64","55266,87","3,23M","0,13%"
31.07.2014,"55829,41","56877,89","56877,89","55502,21","3,49M","-1,84%"
30.07.2014,"56877,97","57118,67","57439,06","56705,96","2,45M","-0,42%"
29.07.2014,"57118,81","57697,44","58013,45","57082,9","2,70M","-1,00%"
28.07.2014,"57695,72","57823,15","58040,46","57414,51","2,37M","-0,22%"
